2021-08-23 15:10:59.698707: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-08-23 15:11:22.136375: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-08-23 15:11:22.141784: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcuda.so.1
2021-08-23 15:11:22.186527: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 0 with properties: 
pciBusID: 0000:18:00.0 name: Tesla V100-SXM2-32GB computeCapability: 7.0
coreClock: 1.53GHz coreCount: 80 deviceMemorySize: 31.75GiB deviceMemoryBandwidth: 836.37GiB/s
2021-08-23 15:11:22.187000: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-08-23 15:11:22.196800: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.11
2021-08-23 15:11:22.196938: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublasLt.so.11
2021-08-23 15:11:22.202113: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcufft.so.10
2021-08-23 15:11:22.204653: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcurand.so.10
2021-08-23 15:11:22.212049: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcusolver.so.10
2021-08-23 15:11:22.214048: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcusparse.so.11
2021-08-23 15:11:22.215058: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudnn.so.8
2021-08-23 15:11:22.221004: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1862] Adding visible gpu devices: 0
2021-08-23 15:11:22.229136: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-08-23 15:11:22.229561: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-08-23 15:11:22.232058: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1720] Found device 0 with properties: 
pciBusID: 0000:18:00.0 name: Tesla V100-SXM2-32GB computeCapability: 7.0
coreClock: 1.53GHz coreCount: 80 deviceMemorySize: 31.75GiB deviceMemoryBandwidth: 836.37GiB/s
2021-08-23 15:11:22.232188: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-08-23 15:11:22.232257: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.11
2021-08-23 15:11:22.232366: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublasLt.so.11
2021-08-23 15:11:22.232473: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcufft.so.10
2021-08-23 15:11:22.232534: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcurand.so.10
2021-08-23 15:11:22.232581: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcusolver.so.10
2021-08-23 15:11:22.232627: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcusparse.so.11
2021-08-23 15:11:22.232695: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudnn.so.8
2021-08-23 15:11:22.237363: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1862] Adding visible gpu devices: 0
2021-08-23 15:11:22.237521: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2021-08-23 15:11:23.317841: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1261] Device interconnect StreamExecutor with strength 1 edge matrix:
2021-08-23 15:11:23.317961: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1267]      0 
2021-08-23 15:11:23.318086: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1280] 0:   N 
2021-08-23 15:11:23.325204: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1406] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 30130 MB memory) -> physical GPU (device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:18:00.0, compute capability: 7.0)
2021-08-23 15:11:35.691393: I tensorflow/compiler/mlir/mlir_graph_optimization_pass.cc:116] None of the MLIR optimization passes are enabled (registered 2)
2021-08-23 15:11:35.696145: I tensorflow/core/platform/profile_utils/cpu_utils.cc:112] CPU Frequency: 2100000000 Hz
2021-08-23 15:11:35.775464: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.11
2021-08-23 15:11:36.232319: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublasLt.so.11
2021-08-23 15:11:36.243457: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudnn.so.8
2021-08-23 15:11:38.720662: W tensorflow/stream_executor/gpu/asm_compiler.cc:63] Running ptxas --version returned 256
2021-08-23 15:11:38.823793: W tensorflow/stream_executor/gpu/redzone_allocator.cc:314] Internal: ptxas exited with non-zero error code 256, output: 
Relying on driver to perform ptx compilation. 
Modify $PATH to customize ptxas location.
This message will be only logged once.
LabelAttacker started.
LabelAttacker finished.
Training round: 1		accuracy = 0.6399999856948853
Training round: 2		accuracy = 0.5539130568504333
Training round: 3		accuracy = 0.5385507345199585
Training round: 4		accuracy = 0.49594202637672424
Training round: 5		accuracy = 0.4886956512928009
Training round: 6		accuracy = 0.4817391335964203
Training round: 7		accuracy = 0.47826087474823
Training round: 8		accuracy = 0.48260870575904846
Training round: 9		accuracy = 0.4730434715747833
Training round: 10		accuracy = 0.4771014451980591
Training round: 11		accuracy = 0.4750724732875824
Training round: 12		accuracy = 0.4742029011249542
Training round: 13		accuracy = 0.47565218806266785
Training round: 14		accuracy = 0.4742029011249542
Training round: 15		accuracy = 0.47449275851249695
Training round: 16		accuracy = 0.4739130437374115
Training round: 17		accuracy = 0.4730434715747833
Training round: 18		accuracy = 0.4707246422767639
Training round: 19		accuracy = 0.47130435705184937
Training round: 20		accuracy = 0.4692753553390503
Training round: 21		accuracy = 0.469565212726593
Training round: 22		accuracy = 0.469565212726593
Training round: 23		accuracy = 0.46869564056396484
Training round: 24		accuracy = 0.46898549795150757
Training round: 25		accuracy = 0.46898549795150757
Training round: 26		accuracy = 0.46782609820365906
Training round: 27		accuracy = 0.4681159555912018
Training round: 28		accuracy = 0.46782609820365906
Training round: 29		accuracy = 0.46898549795150757
Training round: 30		accuracy = 0.46637681126594543
Training round: 31		accuracy = 0.4672463834285736
Training round: 32		accuracy = 0.46666666865348816
Training round: 33		accuracy = 0.4672463834285736
Training round: 34		accuracy = 0.4669565260410309
Training round: 35		accuracy = 0.4669565260410309
Training round: 36		accuracy = 0.4672463834285736
Training round: 37		accuracy = 0.46637681126594543
Training round: 38		accuracy = 0.4669565260410309
Training round: 39		accuracy = 0.4672463834285736
Training round: 40		accuracy = 0.46753624081611633
Training round: 41		accuracy = 0.4660869538784027
Training round: 42		accuracy = 0.46666666865348816
Training round: 43		accuracy = 0.4660869538784027
Training round: 44		accuracy = 0.46579709649086
Training round: 45		accuracy = 0.46521738171577454
Training round: 46		accuracy = 0.46521738171577454
Training round: 47		accuracy = 0.46521738171577454
Training round: 48		accuracy = 0.4660869538784027
Training round: 49		accuracy = 0.4646376669406891
Training round: 50		accuracy = 0.4646376669406891
Training round: 51		accuracy = 0.4646376669406891
Training round: 52		accuracy = 0.4646376669406891
Training round: 53		accuracy = 0.464057981967926
Training round: 54		accuracy = 0.46550723910331726
Training round: 55		accuracy = 0.4646376669406891
Training round: 56		accuracy = 0.4649275243282318
Training round: 57		accuracy = 0.4649275243282318
Training round: 58		accuracy = 0.46521738171577454
Training round: 59		accuracy = 0.4646376669406891
Training round: 60		accuracy = 0.4649275243282318
Training round: 61		accuracy = 0.4649275243282318
Training round: 62		accuracy = 0.46521738171577454
Training round: 63		accuracy = 0.4646376669406891
Training round: 64		accuracy = 0.46521738171577454
Training round: 65		accuracy = 0.46521738171577454
Training round: 66		accuracy = 0.4649275243282318
Training round: 67		accuracy = 0.46521738171577454
Training round: 68		accuracy = 0.4649275243282318
Training round: 69		accuracy = 0.4646376669406891
Training round: 70		accuracy = 0.4649275243282318
Training round: 71		accuracy = 0.4649275243282318
Training round: 72		accuracy = 0.4646376669406891
Training round: 73		accuracy = 0.4646376669406891
Training round: 74		accuracy = 0.4646376669406891
Training round: 75		accuracy = 0.464057981967926
Training round: 76		accuracy = 0.464057981967926
Training round: 77		accuracy = 0.4637681245803833
Training round: 78		accuracy = 0.464057981967926
Training round: 79		accuracy = 0.4634782671928406
Training round: 80		accuracy = 0.4646376669406891
Training round: 81		accuracy = 0.4634782671928406
Training round: 82		accuracy = 0.4634782671928406
Training round: 83		accuracy = 0.464057981967926
Training round: 84		accuracy = 0.464057981967926
Training round: 85		accuracy = 0.4637681245803833
Training round: 86		accuracy = 0.46434783935546875
Training round: 87		accuracy = 0.46434783935546875
Training round: 88		accuracy = 0.464057981967926
Training round: 89		accuracy = 0.46434783935546875
Training round: 90		accuracy = 0.4646376669406891
Training round: 91		accuracy = 0.46434783935546875
Training round: 92		accuracy = 0.4637681245803833
Training round: 93		accuracy = 0.4637681245803833
Training round: 94		accuracy = 0.46318840980529785
Training round: 95		accuracy = 0.4634782671928406
Training round: 96		accuracy = 0.464057981967926
Training round: 97		accuracy = 0.4634782671928406
Training round: 98		accuracy = 0.4637681245803833
Training round: 99		accuracy = 0.4646376669406891
Training round: 100		accuracy = 0.464057981967926
Training duration 5981.019008398056
